line_no,name,building_type,start_dynasty,start_year,century,century_num,province,address,start_time_confidence,建筑结构体系_terms,建筑材料_terms,建筑功能_terms,营造技艺_terms,建筑空间布局_terms,material_categories
494,襄阳王府绿影壁,宫殿,明,1438,15世纪,15,湖北省,湖北省襄樊市,0.98,仿木结构;四柱三楼牌坊式;壁座壁身壁顶三段式,绿泥片岩;汉白玉;绿矾,照壁;王府前导空间,浮雕;龙纹雕刻;须弥座束腰雕饰;云纹海水纹装饰,坐南朝北;三段式横向布局;中段突出,其他材料
499,张谷英村古建筑群,民居,明,1371,14世纪,14,湖南省,湖南省岳阳县,0.95,干枝式结构;天井单元;屋连屋结构,砖石;木材,排水系统;采光通风;防火设施;烟火堂,天井院落营造;干枝式布局施工;巷道贯通工艺,干枝式布局;天井院落;巷道连通;庭院一体,木材类;石材类;砖瓦类
500,芋头侗寨古建筑群,民居,明,1368,14世纪,14,湖南省,湖南省通道侗族自治县,0.85,鼓楼;风雨桥;门楼,木材;生土,集会;交通;祭祀,榫卯结构;干栏式营造,吊脚楼群;鼓楼中心布局;古驿道串联;萨岁台分布,土类;木材类
503,东华里古建筑群,民居,清,1736,18世纪,18,广东省,广东省佛山市,0.85,砖木结构;硬山顶,青砖;木材;灰塑,民居建筑群;珠三角风格,维修改造;清代营造,主路布局;集中式院落;规整街巷,木材类;砖瓦类
507,肇庆古城墙,官府,宋,1053,11世纪,11,广东省,广东省肇庆市,0.98,敌台;炮台;城门;兵房;濠堑,砖石;条石;黄土碎石;三合土;铭文砖,防御;防洪;军事驻守;城防体系,露龈造砌;三合土包边;串楼建造;仿古青砖墁道,长方形城制;四门格局;月城;角楼;依山傍水布局,土类;石材类;砖瓦类
510,岜团桥,桥梁,清,1896,19世纪,19,广西壮族自治区,广西壮族自治区三江侗族自治县,0.98,双层木桥;二台一墩;两孔三亭;歇山顶,木材;石料,人畜分道;侗族立交桥;双层功能分工,侗族建桥技艺;传统木构营造,三座桥楼;双层廊道;歇山顶布局,木材类;石材类
532,郎德上寨古建筑群,民居,明,1368,14世纪,14,贵州省,贵州省雷山县,0.85,干栏式;吊脚楼;木结构,木材;青瓦,居住;畜养;公共活动;储粮;消防,传统木作;榫卯结构,依山而建;背山面水;阶梯式布局;路网密集,木材类;砖瓦类
533,海龙屯,官府,宋,1257,13世纪,13,贵州省,贵州省遵义县,0.98,瓮城防御体系;一字形城墙;内外城结构;关隘体系,石构;石砌拱券;土城墙,军事防御;土司城址;山城;军事大本营,因山为城;阶梯式坡道;九五之尊布局,三路格局;台阶式布局;前低后高;衙署区,土类;石材类
534,地坪风雨桥,桥梁,清,1882,19世纪,19,贵州省,贵州省黎平县,0.95,悬臂梁结构;木梁桥,木材,廊桥;休憩设施,悬臂梁承托;木构架技艺,三阁楼布局;廊道连接;攒尖顶中阁;歇山顶端阁,木材类
536,喜洲白族古建筑群,民居,明,1368,14世纪,14,云南省,云南省大理市,0.85,土木砖石结构;大出厦;宽走廊,土;木;砖;石,民居;聚居;居住,门楼装饰;堂屋门窗装饰;外观装饰,三坊一照壁;四合五天井;三方一照壁,土类;木材类;石材类;砖瓦类
539,朗色林庄园,民居,明,1368,14世纪,14,西藏自治区,西藏自治区扎囊县,0.85,碉楼;土石结构;多重围墙,生土;石块;石板;木材,经堂;神殿;库房;作坊;防御设施,夯土墙;木石台阶;收分墙体,围院结构;主附楼布局;护城壕,土类;木材类;石材类
563,胡氏古民居建筑,民居,明,1522,16世纪,16,甘肃省,甘肃省天水市,0.92,抬梁式木构架;穿斗式混合结构,青砖;木材;灰瓦,品官府邸;民俗博物馆;民居集大成者,榫卯结构;雕花装饰;影壁营造,三进院落;围院结构;多院组合;正院侧院,木材类;砖瓦类
585,德胜门箭楼,官府,明,1371,14世纪,14,北京市,北京市西城区,0.98,重檐歇山顶;金柱承重;穿插梁;跨空枋;砖石城台,砖石;灰筒瓦;绿琉璃,箭孔;军事防御;展览馆,收分墙体;之字形台阶;券门砌筑,前楼后厦;面阔七间;瓮城布局;围院结构,石材类;砖瓦类
594,醇亲王府,宫殿,清,1644,17世纪,17,北京市,北京市西城区,0.65,府邸;花园;马号,石,办公用房;故居;学校,传统木构架;院落式布局施工;官式彩画,三路并列;坐北朝南;院落分隔,石材类
598,安徽会馆,官府,清,1869,19世纪,19,北京市,北京市宣武区,0.92,抬梁式;穿斗式,木材;砖石;琉璃瓦,会馆;议事厅,糯米灰浆;榫卯结构,围院结构;中轴对称,木材类;石材类;砖瓦类
600,石家大院,民居,清,1875,19世纪,19,天津市,天津市西青区,0.98,砖木结构;合院式,青砖;木材;石材,起居室;花厅;戏楼;佛堂,砖雕;木雕;石雕,四进院落;正偏布局;坐北朝南;长甬道,木材类;石材类;砖瓦类
617,永济桥,桥梁,明,1574,16世纪,16,河北省,河北省涿州市,0.99,九孔石桥;分水尖;引桥;涵洞,长方巨石;汉白玉;条形方石;铸铁,跨河交通;破冰防凌,起拱技法;石砌拱券,主桥-引桥布局;对称栏板望柱;地袱,石材类;金属类
624,常平仓,官府,明,1368,14世纪,14,河北省,河北省蔚县,0.85,悬山式;木柱结构,木材;砖石,官办粮仓;赈灾仓储;平抑粮价,通风天窗;墙体通风孔;抗撑压木构,围院结构;中轴对称;四合仓院,木材类;石材类;砖瓦类
626,单桥,桥梁,明,1629,17世纪,17,河北省,河北省献县,0.95,石拱桥;五孔拱桥;不对称拱桥,青石;石材,泄水腹拱;通航孔;减重结构,依地势设计;腹拱减重法;非对称起拱,南高北低;不对称布局;随形就势,石材类
627,弘济桥,桥梁,明,1582,16世纪,16,河北省,河北省永年县,0.4,单孔石拱桥;双敞肩式,青石,横跨桥;交通桥,浮雕装饰;吸水兽雕刻;龙纹雕饰;缠枝花纹;栏板雕花,东西横跨;线性布局,石材类
628,永年城,官府,唐,619,7世纪,7,河北省,河北省永年县,0.92,城墙;重门楼;瓮城;护城河,砖;土,府治;县治;防御,砖包土筑;大堤修筑;瓮城建造,卧牛城;四角设门;环城街道;护城河环绕,土类;砖瓦类
632,伍仁桥,桥梁,明,1599,16世纪,16,河北省,河北省安国市,0.98,石拱桥;五孔拱券,石材;砖石,交通桥梁;河道跨越,明代石作;拱券砌筑,跨河线性布局;多孔对称布局,石材类;砖瓦类
633,万全右卫城,官府,明,1393,14世纪,14,河北省,河北省万全县,0.98,包砖夯土结构;城墙结构,青砖;夯土,军事防御;行政中心;仓储功能;居住功能;文教功能,夯筑技术;外包砖工艺,十字街布局;功能分区布局,土类;砖瓦类
736,柳氏民居,民居,明,1406,15世纪,15,山西省,山西省沁水县,0.92,悬山顶;二层楼阁式;四合院;过街楼,石牌坊;砖木结构,祠堂;文庙;防御体系;府邸,榫卯结构;砖雕;木构架,中轴对称;坐北朝南;三区布局;环形小街,木材类;石材类;砖瓦类
737,湘峪古堡,民居,明,1614,17世纪,17,山西省,山西省沁水县,0.95,蜂窝城;内城外城结构,砖石砌筑;夯土墙;窑洞式墙体,基层防御;堡寨体系;军事辅助功能,依山就势营造;堡寨联防布局;窑洞嵌墙技法,三街九巷;围院式布局;三都堂中心布局,土类;石材类;砖瓦类
744,王家大院,民居,明,1573,16世纪,16,山西省,山西省灵石县,0.85,城堡式住宅;依山而建;坐北朝南,砖;石;木,民居;博物馆;艺术馆,砖雕;石雕;木雕,院落式布局;东大院;西大院;孝义祠;坐北朝南,木材类;石材类;砖瓦类
748,曹家大院,民居,明,1573,16世纪,16,山西省,山西省太谷县,0.92,堂楼结构;穿堂院落;四层木构,砖石;木材,民居;博物馆,南北融合风格;中西合璧营造,寿字形布局;三进院落;十五小院,木材类;石材类;砖瓦类
759,潞安府衙,官府,隋,583,6世纪,6,山西省,山西省长治市,0.96,重檐歇山顶;高台建筑;四角瑞兽装饰,青砖;木材;灰瓦,衙署;知府眷属院;办公院;西花园,榫卯结构;斗拱承重;台基砌筑,中轴线对称布局;坐北朝南;钟鼓楼对峙;多进院落,木材类;砖瓦类
760,渠家大院,民居,清,1736,18世纪,18,山西省,山西省祁县,0.92,城堡式;歇山顶;悬山顶;卷棚顶;硬山顶,青砖;木材;灰瓦,晋商文化博物馆;茶庄旧址,抬梁式;穿斗式;砖雕装饰,坐北朝南;多进院落;统楼院;戏台院;栏杆院,木材类;砖瓦类
766,师家沟古建筑群,民居,清,1769,18世纪,18,山西省,山西省汾西县,0.95,四合院;三合院;砖房结构;窑洞结构,砖;生土;石材,居住;宗族聚居,依山砌筑;窑洞开凿,依山就势;围院结构;坡地布局;背山面沟,土类;石材类;砖瓦类
774,绥远城墙和将军衙署,官府,清,1735,18世纪,18,内蒙古自治区,内蒙古自治区呼和浩特市,0.98,角楼;堆拨;城门楼;官式城垣,城砖,军事驻防城;边疆驻防将军府;衙署,清代官式制式;城池营造规范,中轴对称;六进院落;东西跨院;围院结构,砖瓦类
780,僧格林沁王府,官府,清,1826,19世纪,19,内蒙古自治区,内蒙古自治区科尔沁左翼后旗,0.92,硬山式;五重四进;三路并列,木材;砖石,礼政区;旗政办公区;生活保障区,雕梁画栋;飞檐反宇;清代官式,三路并列;五重四进;围合紧凑,木材类;石材类;砖瓦类
783,中前所城,官府,明,1428,15世纪,15,辽宁省,辽宁省绥中县,0.95,城墙结构;方形城制,砖石;生土,军事防御;千户所驻地,明代筑城法;清代重修工艺,方形布局;三门设瓮城;围院结构,土类;石材类;砖瓦类
784,广宁城,官府,明,1390,14世纪,14,辽宁省,辽宁省北宁市,0.98,瓮城;角楼;城楼;马道;女儿墙,砖石;夯土;条石;内石外砖,卫所;点将台;军政中心,包砌砖石;夯土筑城;重修续筑;砖木结构,十字街;四卫分驻;鼓楼居中;大街轴线,土类;石材类;砖瓦类
800,太仓石拱桥,桥梁,元,1329,14世纪,14,江苏省,江苏省太仓市,0.98,单孔石拱;三孔石拱;石拱桥,石材;石砌,交通通行;跨河连街,拱券砌筑;石构干砌,沿河布局;街桥一体;致和塘沿线,石材类
801,盘门,官府,东周,-514,公元前6世纪,-6,江苏省,江苏省苏州市,0.98,瓮城;水陆城门;曲尺形布局;双重城垣,木材;木制蟠龙;砖石,防御设施;藏兵洞;水闸;射孔,城垣砌筑;水陆门交错布局;飞檐翘角构造,曲尺形;瓮城布局;内外两重;暗道连接,木材类;石材类;砖瓦类
806,户部山古建筑群,民居,明,1624,17世纪,17,江苏省,江苏省徐州市,0.98,四合院;围院结构,青砖;青石;木材,民居;民俗博物馆,雕梁画栋;精细琢刻,因山就势;参差错落;规整划一,木材类;石材类;砖瓦类
807,瞻园,官府,明,1522,16世纪,16,江苏省,江苏省南京市,0.95,抬梁式;穿斗式;楼榭亭台,太湖石;木材;砖石,王府;布政使衙署;历史博物馆,江南园林营造;假山叠石;传统修复技艺,东西分部;主园与小庭院;三面环水一面依陆,木材类;石材类;砖瓦类
811,赵用贤宅,民居,明,1553,16世纪,16,江苏省,江苏省常熟市,0.99,月梁;四椽袱;平梁,木材;彩画颜料;木雕材料,藏书楼;古琴艺术馆;私家宅第,斗拱出挑;苏式彩画;沥粉堆塑;浮雕装饰,中路轴线;三路院落;前庭藏书厅,木材类
812,张溥宅第,民居,明,1621,17世纪,17,江苏省,江苏省太仓市,0.95,走马堂楼;复道廊,青砖;木构架;黛瓦,聚会场所;复社活动地,穿斗式;抬梁式;榫卯结构,走马堂楼;三进院落;复道廊连通,木材类;砖瓦类
813,东山民居,民居,明,1450,15世纪,15,江苏省,江苏省苏州市,0.75,抬梁式;穿斗式,砖;木材,大厅;花厅;书房;客房;佛楼,砖雕;木雕;苏式彩绘,门楼;大厅;两厢;仪门;书楼,木材类;砖瓦类
814,艺圃,民居,明,1541,16世纪,16,江苏省,江苏省苏州市,0.98,抬梁式;井字形天花;单檐攒尖;面阔五间,湖石;木材,书堂;厅堂;水榭,叠山理水;取法自然;登山石径,池水为中心;建筑-水池-山林;小庭园辅景,木材类;石材类
816,淮安府衙,官府,明,1370,14世纪,14,江苏省,江苏省淮安市,0.98,抬梁式;官式建筑;七间五间制,金丝楠木;木材,迎宾;军捕;内宅;办公,拆旧建新;木构架重建;照壁营造,三路并列;中轴对称;多进院落;照壁对置,木材类
817,师俭堂,民居,清,1801,19世纪,19,江苏省,江苏省苏州市,0.98,多进院落;西宅东园;主次轴线,砖雕;石雕;木雕,商铺;内宅;米行;正厅,云头挑梓;梁檩结构,西宅东园;街穿天井;袖珍园林;券门通巷,木材类;石材类;砖瓦类
819,吴氏宅第,民居,清,1888,19世纪,19,江苏省,江苏省扬州市,0.95,木构架;抬梁式,青砖;木材;石材,住宅;花园;祠堂;医院,仿宁波道台衙门;仿天一阁,多轴线布局;火巷分隔;东西两块;三进院落,木材类;石材类;砖瓦类
821,小盘谷,民居,清,1736,18世纪,18,江苏省,江苏省扬州市,0.85,木构架;抬梁式,青砖;木材;太湖石,园林;住宅,假山叠石;峰回路转布局,东园西宅;园林住宅分置;合院式布局,木材类;石材类;砖瓦类
823,甘熙宅第,民居,清,1796,18世纪,18,江苏省,江苏省南京市,0.95,穿堂式;马头墙;跑马楼,青砖;小瓦;木材,民俗博物馆;展览空间;居住与商用混合,传统木作;花格窗工艺,多进院落;四组毗邻建筑群;坐南朝北,木材类;砖瓦类
826,新河闸桥群,桥梁,宋,960,10世纪,10,浙江省,浙江省温岭市,0.95,石伸臂梁式结构;叠涩悬挑;仿拱形结构;分水尖;梁式闸桥,条石;石梁;桥面板;石砌,闸桥合一;水利排蓄;交通通行,仿斗拱出挑;叠涩砌筑;隐出柱构;分水尖工艺,多孔桥布局;东西走向;南北走向,石材类
828,寿昌桥,桥梁,宋,1265,13世纪,13,浙江省,浙江省德清县,0.96,单孔石拱桥;实腹圆弧拱;石拱结构,长方块石;须弥座石栏板;莲瓣望柱,交通桥;古驿道桥梁,逐层收分砌筑;南宋原貌保存;江南石拱桥技艺,南北走向;单孔跨河布局;桥面收分式,石材类
829,赤溪五洞桥,桥梁,宋,1267,13世纪,13,浙江省,浙江省苍南县,0.95,五孔梁式石桥;梁式桥;石梁桥,石板;规则石块,交通桥梁;村落通道;跨溪通行,船形墩;分水尖;石板并铺;纪年题刻,南北走向;五孔布局;线性桥道,石材类
833,芝堰村建筑群,民居,宋,1174,12世纪,12,浙江省,浙江省兰溪市,0.95,木构架;抬梁式,青砖;木材;石材,宗祠;民居,榫卯结构;雕花装饰,中轴线布局;骑楼;古街布局,木材类;石材类;砖瓦类
834,芙蓉村古建筑群,民居,唐,1368,14世纪,14,浙江省,浙江省永嘉县,0.7,木构架;抬梁式,青砖;木材;石材,寨墙寨门;宗祠;书院;亭;大屋,榫卯结构;雕花装饰,七星八斗;星斗布局;水井布局;路灯系统,木材类;石材类;砖瓦类
836,安城城墙,官府,元,1356,14世纪,14,浙江省,浙江省安吉县,0.98,梯形断面城墙;环城马道;城台;椭圆形平面,条石包砌;块石包砌;黄土杂石混筑;石城,防御功能;防洪功能;双重功能城墙,石质闸槽;城墙加高;城门改造,四门布局;桃形平面;护城河引水;州署居中,土类;石材类
840,王守仁故居和墓,民居,明,1472,15世纪,15,浙江省,浙江省余姚市、绍兴县,0.92,重檐硬山;木结构;两层楼房;三开间,砖雕;石柱;仿木结构,故居;哲学家宅第,砖雕工艺;仿木构作;中轴对称营造,中轴线布局;门厅-轿厅-大厅-瑞云楼序列;东西侧屋;后罩屋,木材类;石材类;砖瓦类
841,青藤书屋和徐渭墓,民居,明,1521,16世纪,16,浙江省,浙江省绍兴市、绍兴县,0.85,木构架;砖木混合结构,砖石;木材,故居;书屋;墓葬,传统木作;江南园林营造,三开间;前后两室;坐北朝南;天池布局;方形墓制,木材类;石材类;砖瓦类
843,泰顺廊桥,桥梁,唐,1673,17世纪,17,浙江省,浙江省泰顺县,0.65,木拱廊桥;八字形拱架;三折边;五折边;剪刀撑,木材;木拱结构;廊屋,交通功能;遮风挡雨;休憩场所;信仰场所;商贸交流,木拱桥传统营造技艺;编木拱技艺;非遗营造工艺,集中分布;廊桥文化园;廊桥博物园,木材类
844,仕水矴步,桥梁,清,1794,18世纪,18,浙江省,浙江省泰顺县,0.96,一字形布局;高低齿状结构;桥梁雏形,白色花岗岩;青石;双色石材,双人并行通道;夜间辨识功能;防洪踏步,木质框架护基;卵石砌筑;石材深埋工艺,一字形延伸;等距齿列;碑记附属布局,石材类
847,崇仁村建筑群,民居,宋,1041,11世纪,11,浙江省,浙江省嵊州市,0.85,抬梁式;穿斗式,木材,当铺;公共建筑,木雕,台门组合;宗祠,木材类
849,顺溪古建筑群,民居,清,1736,18世纪,18,浙江省,浙江省平阳县,0.95,穿斗式;抬梁式,粉墙;黛瓦;木材,聚族而居;宗族空间,传统木构;手工砌筑,多院落;大开间;围院结构,木材类;砖瓦类
850,莫氏庄园,民居,清,1897,19世纪,19,浙江省,浙江省平湖市,0.99,砖石高墙;围院结构,深色油漆;白色墙面;彩塑屋脊;砖石,住宅;祠堂;书房;花厅,彩塑堆饰;传统木构;砖石砌筑,三组四进;前堂后寝;备弄;天井;回廊,石材类;砖瓦类
855,南屏村古建筑群,民居,宋,1368,14世纪,14,安徽省,安徽省黟县,0.95,抬梁式;穿斗式;砖木结构,木材;木雕,宗祠;支祠;家祠;古民居;染坊,木雕;匾额制作;对联雕刻,轴线布局;宗族分治格局;聚落形态,木材类
856,江村古建筑群,民居,隋,605,7世纪,7,安徽省,安徽省旌德县,0.85,石构建筑;祠堂建筑;民居建筑;牌坊,石材,祠堂;民居;牌坊;书舍,传统木作;石雕工艺;风水布局,枕山环水;东北至西南走向;聚秀湖布局,石材类
862,世太史第,民居,明,1573,16世纪,16,安徽省,安徽省安庆市,0.95,砖木结构,青砖;砖雕,翰林宅;爱国主义教育基地;故居,修旧如旧,中轴线布局;多进院落;五开间;后花园,砖瓦类
878,闽东北廊桥,桥梁,清,1751,18世纪,18,福建省,福建省屏南县、寿宁县、柘荣县、古田县、武夷山市,0.95,木拱廊桥;单孔跨度,木材;木构,交通功能;人文空间,木拱营造技艺;浙闽廊桥工艺,廊屋式布局;桥上廊道,木材类
889,鸣水桥,桥梁,宋,1111,12世纪,12,江西省,江西省樟树市,0.98,石砌单孔拱桥;拱券结构,石材;石拱,交通桥;山口通道,拱券砌筑;原貌整修,桥亭结合;峡谷崖口布局,石材类
890,清华彩虹桥,桥梁,宋,1127,12世纪,12,江西省,江西省婺源县,0.85,梁桥;廊桥;四墩五孔,木材;条石,廊亭;祭祀空间;休憩设施,分水桥墩;木梁架设;徽州营造法,六亭五廊;引桥-桥墩-廊屋复合布局;两坡顶廊屋,木材类;石材类
891,袁州谯楼,官府,五代十国,944,10世纪,10,江西省,江西省宜春市,0.99,抬梁式;重檐歇山顶,木材,测时;守时;授时;天文台,维修,π字形布局;主台;观天台;石劵拱门,木材类
894,理坑村民居,民居,明,1368,14世纪,14,江西省,江西省婺源县,0.75,徽派建筑;抬梁式;穿斗式,砖石;木材,官厅;尚书第;司马第;祠堂;花厅,传统木构;徽州三雕,住宅为主体;园林式布局;围院结构,木材类;石材类;砖瓦类
898,卞桥,桥梁,唐,618,7世纪,7,山东省,山东省泗水县,0.85,三孔联拱;石拱桥;梭形迎水墩,石材;透雕龙首;莲花托石;须弥座,景观桥;交通桥,透雕;浮雕;券砌,三孔对称布局;引桥结构;栏板望柱序列,石材类
905,蒲松龄故宅,民居,清,1640,17世纪,17,山东省,山东省淄博市,0.95,土坯墙;青石墙基;青砖立柱;小青瓦顶;草顶,青石;土坯;青砖;小青瓦;茅草,书房;卧室;客厅;创作空间;文化研究中心,传统砌筑;手工草顶铺设,坐北朝南;一正两厢;门楼东向;三开间;院落式布局,土类;石材类;砖瓦类
922,叶县县衙,官府,明,1369,14世纪,14,河南省,河南省叶县,0.95,木构架;抬梁式,青砖;灰瓦;木材,监狱;厨院;知县宅;虚受堂;思补斋,榫卯结构;斗拱,中轴线布局;三路并列;东侧副线;西侧副线;围院结构,木材类;砖瓦类
928,阳台宫,宫殿,明,1428,15世纪,15,河南省,河南省济源市,0.65,抬梁式;穿斗式,木材;砖石,道教宫观,榫卯结构;琉璃瓦作,中轴对称;院落式,木材类;石材类;砖瓦类
930,望京楼,宫殿,明,1591,16世纪,16,河南省,河南省卫辉市,0.95,无梁殿;砖石结构;十字形拱券,青石;白石;砖石,藏书楼;读书楼,拱券结构;无木构造;十字拱,坐北朝南;长方形平面;两层楼阁,石材类;砖瓦类
945,鱼木寨,民居,明,1369,14世纪,14,湖北省,湖北省利川市,0.95,寨楼;三阳关;亮梯子;土家古堡,石材;石碑;石作,军事防御;政治中心;文化载体;土司居所,石构营造;穴居营造;山地垒砌,椭圆寨顶;闭合区域;联体保护,石材类
956,高椅村古建筑群,民居,明,1380,14世纪,14,湖南省,湖南省会同县,0.95,穿斗式;抬梁式,木材;生土;砖石,文化教育;政治活动;宗族聚居,明代江南营造法式;沅湘营造技艺;侗家营造技艺,梅花状布局;中心辐射式;五通庙中心布局,土类;木材类;石材类;砖瓦类
960,坪坦风雨桥,桥梁,清,1761,18世纪,18,湖南省,湖南省通道侗族自治县,0.98,迭梁穿斗式;伸臂梁式;单孔伸臂梁式;三墩两孔,青石;砾石;小青瓦;木板;石板,避风雨;乘凉歇息;交通设施;风水构筑物,拱伸臂梁式;双悬臂迭梁式;单悬臂迭梁式;侗族桥梁营造技艺,四柱三间排架;廊庑式通廊;桥亭;廊道,木材类;石材类;砖瓦类
963,凤凰古城堡,官府,清,1644,17世纪,17,湖南省,湖南省凤凰县,0.85,石砌城墙;错缝砌筑,青光岩石;糯米石灰浆;桐油,军事要塞;屯边要塞;防御堡垒,糯米灰浆勾缝;错缝砌筑,依险设防;围石墙布局;多重军事设施布局,灰浆胶结类;石材类
970,道韵楼,民居,明,1477,15世纪,15,广东省,广东省饶平县,0.99,三进围屋;三层楼房;八卦形平面,三合土;竹钉;土布瓦砖;红糖糯米灰浆,八防功能;防火攻;抗震;储粮供水,版筑夯土;竹钉连接;土布包烧制瓦,八卦布局;三进三环围;中心广场;八巷道,土类;灰浆胶结类;砖瓦类
1005,波日桥,桥梁,元,1644,17世纪,17,四川省,四川省新龙县,0.85,伸臂桥;木构桥梁;悬臂结构,木材;原木,交通桥梁;跨江桥,传统木构架技艺;榫卯结构,线性布局;窄幅长桥,木材类
1012,宝箴塞,民居,清,1910,20世纪,20,四川省,四川省武胜县,0.95,环形炮楼;条石寨墙;银铤状平面,条石;石材,军事防御;生活起居;仓储设施,闽南团城风格;江南民居特色;依山而建,七天井四院落;多门系统;地下通道连接,石材类
1017,寨英村古建筑群,民居,明,1385,14世纪,14,贵州省,贵州省松桃苗族自治县,0.9,干栏式;三合院式;四合院式;吊脚楼,木材,古民居;会馆;商铺;手工作坊;军事屯堡,自流供排水系统;消防系统,街巷布局;结构严谨;布局精巧,木材类
1022,葛镜桥,桥梁,明,1618,17世纪,17,贵州省,贵州省福泉市,0.98,变截面圆弧尖拱;三孔联拱;石拱桥,石材;石砌,交通通行;景观构筑,依势建桥;预应力平衡;传统石作,天人合一;虚实相生;自然融合,石材类
1030,宝山石头城,民居,元,1264,13世纪,13,云南省,云南省玉龙纳西族自治县,0.9,石砌结构;山地石构,石材;石头,州治所;行政中心,就地取材;石砌工艺;山地凿筑,山地聚落;石上村落;依山就势,石材类
1037,朝阳楼,官府,明,1389,14世纪,14,云南省,云南省建水县,0.98,抬梁式;三重檐歇山式;木构架,木材;砖石;铜,城门楼;防御建筑,分层支撑;迥廊周通;三重檐歇山式屋顶,五开间;三进间;迥廊环绕,木材类;石材类;砖瓦类;金属类
1040,金龙桥,桥梁,清,1880,19世纪,19,云南省,云南省丽江市,0.99,铁索桥;悬索结构;铁链承重体系,铁链;木板;扁钢条,交通通行;旅游景点,私人捐资营建;铁环扣联工艺;加固重修技艺,东西走向桥体;桥台锚碇系统;桥廊休息空间,木材类;金属类
1041,孟连宣抚司署,官府,明,1406,15世纪,15,云南省,云南省孟连傣族拉祜族佤族自治县,0.98,汉式衙署结构;傣汉融合结构,木材;青砖;瓦顶,土司衙署;行政司法中心;仓储生活区;礼仪祭祀场所,榫卯结构;雕花装饰;抬梁式构架,中轴对称布局;围院结构;坐北朝南;多进院落,木材类;砖瓦类
1043,双龙桥,桥梁,清,1736,18世纪,18,云南省,云南省建水县,0.95,多孔厚墩联拱桥;尖孔拱;半圆拱;石拱桥,石块;拱券石;护拱石;石砌护栏,交通要道;通行桥梁,分期扩建;十七连环拱;多跨不等弧拱,三层重檐歇山顶楼阁;八角攒尖顶桥亭;品字状歇山小顶;飞阁三座,石材类
1067,吴堡石城,民居,明,1368,14世纪,14,陕西省,陕西省吴堡县,0.75,硬山顶;四合院,砖石;木材,办公场所;教学空间;集会娱乐,传统木构;合院营造,三进四合院;围院结构;轴线对称,木材类;石材类;砖瓦类
1069,榆林卫城,官府,明,1437,15世纪,15,陕西省,陕西省榆林市,0.98,城墙;城门;夯土结构;包砖墙体,生土;砖石,军事防御;卫所城池;城门建制,传统夯筑;城垣砌筑,依山就势;东高西低;临河设防;半山半川格局,土类;石材类;砖瓦类
1076,盘龙山古建筑群,宫殿,明,1643,17世纪,17,陕西省,陕西省米脂县,0.95,单檐歇山顶;五架梁;通柱做法;围廊;腰檐平座,木材;砖石,行宫;古建筑群,三踩出单昂;三彩如意斗拱;出昂瘦削尖曲;楼阁营造,院落组合;轴线序列;多进建筑,木材类;石材类;砖瓦类
1077,姜氏庄园,民居,清,1862,19世纪,19,陕西省,陕西省米脂县,0.9,明五暗四六厢窑;窑洞院落,砖;木;石,私宅;民居,砖雕;木雕;石雕,上院;中院;下院;院前;合院式布局,木材类;石材类;砖瓦类
1078,丰图义仓,官府,清,1882,19世纪,19,陕西省,陕西省大荔县,0.98,仓墙合一;城中城;夯土筑城,夯土;生土,仓储;防御;粮仓,夯土版筑;仓城合构,城中城;内城外城;仓墙合一,土类
1084,张掖鼓楼,官府,明,1507,16世纪,16,甘肃省,甘肃省张掖市,0.98,重檐四面坡;攒尖顶;三层木构塔形;飞檐翘角,青砖;青筒瓦;琉璃吻兽;石条;铜合金,交通穿行;地标性建筑;历史纪念,砖券砌筑;彩绘修复;梁架修缮;台明修复,十字型门洞;中轴对称;四向通街;女墙围护,石材类;砖瓦类;金属类
1087,永昌钟鼓楼,官府,明,1586,16世纪,16,甘肃省,甘肃省永昌县,0.96,重檐盝顶;重檐庑殿顶;二层三檐;楼阁式,夯土;青砖;明式砖;铁铸,钟鼓楼;声教楼;交通穿行;报时设施,汉式形制;蒙古族布局;落架重修;传统工艺结合现代技术,十字穿心拱洞;方形台基;四向通达;西北登台,土类;砖瓦类;金属类
1093,董府,官府,清,1902,20世纪,20,宁夏回族自治区,宁夏回族自治区吴忠市,0.98,砖木结构;黄土夯筑;硬山顶,青砖;黄土;琉璃瓦;甘南木料;陕西石料,祖先堂;宅邸;军事驻防,煤炭地基处理;砖雕;彩绘;硬山顶营造,三进院落;三宫六院;中轴对称;双四合院,土类;木材类;石材类;砖瓦类
1103,琉璃河大桥,桥梁,明,1418,15世纪,15,北京市,北京市房山区,0.99,石拱桥;多孔拱券;桥墩台,石材;石栏板;石望柱,交通桥梁;古驿道节点;公路桥（历史）,铁梁镇河;石雕工艺;车辙留痕,南北轴线;对称桥孔;牌坊入口,石材类
1107,克勤郡王府,官府,清,1644,17世纪,17,北京市,北京市西城区,0.92,抬梁式;中轴对称;多进院落;翼楼结构,青筒灰瓦;黄琉璃瓦;木材;砖石,王府住宅;祠堂;书房;仆役用房,修旧如旧;规制复建;传统木作;专家指导修复,三路多进;中轴线布局;丹墀前出;东西配殿;后罩房,木材类;石材类;砖瓦类
